Species	IMGT.GENE.DB	locus	region	functional	chr.order
Bos taurus functional	TRAJ1	TRA	J	TRUE	1
Bos taurus functional	TRAJ10	TRA	J	TRUE	2
Bos taurus functional	TRAJ11	TRA	J	TRUE	3
Bos taurus non-functional	TRAJ12	TRA	J	FALSE	4
Bos taurus functional	TRAJ13	TRA	J	TRUE	5
Bos taurus functional	TRAJ14	TRA	J	TRUE	6
Bos taurus functional	TRAJ15	TRA	J	TRUE	7
Bos taurus functional	TRAJ16	TRA	J	TRUE	8
Bos taurus functional	TRAJ17	TRA	J	TRUE	9
Bos taurus functional	TRAJ18	TRA	J	TRUE	10
Bos taurus functional	TRAJ19	TRA	J	TRUE	11
Bos taurus functional	TRAJ2	TRA	J	TRUE	12
Bos taurus functional	TRAJ20	TRA	J	TRUE	13
Bos taurus functional	TRAJ21	TRA	J	TRUE	14
Bos taurus functional	TRAJ22	TRA	J	TRUE	15
Bos taurus functional	TRAJ23	TRA	J	TRUE	16
Bos taurus functional	TRAJ24	TRA	J	TRUE	17
Bos taurus functional	TRAJ25	TRA	J	TRUE	18
Bos taurus functional	TRAJ26	TRA	J	TRUE	19
Bos taurus non-functional	TRAJ27	TRA	J	FALSE	20
Bos taurus functional	TRAJ28	TRA	J	TRUE	21
Bos taurus functional	TRAJ29	TRA	J	TRUE	22
Bos taurus functional	TRAJ3	TRA	J	TRUE	23
Bos taurus non-functional	TRAJ30	TRA	J	FALSE	24
Bos taurus functional	TRAJ31	TRA	J	TRUE	25
Bos taurus functional	TRAJ32	TRA	J	TRUE	26
Bos taurus functional	TRAJ33	TRA	J	TRUE	27
Bos taurus functional	TRAJ34	TRA	J	TRUE	28
Bos taurus functional	TRAJ35	TRA	J	TRUE	29
Bos taurus functional	TRAJ36	TRA	J	TRUE	30
Bos taurus functional	TRAJ37	TRA	J	TRUE	31
Bos taurus functional	TRAJ38	TRA	J	TRUE	32
Bos taurus functional	TRAJ39	TRA	J	TRUE	33
Bos taurus non-functional	TRAJ4	TRA	J	FALSE	34
Bos taurus functional	TRAJ40	TRA	J	TRUE	35
Bos taurus functional	TRAJ41	TRA	J	TRUE	36
Bos taurus functional	TRAJ42	TRA	J	TRUE	37
Bos taurus functional	TRAJ43	TRA	J	TRUE	38
Bos taurus functional	TRAJ44	TRA	J	TRUE	39
Bos taurus functional	TRAJ45	TRA	J	TRUE	40
Bos taurus functional	TRAJ46	TRA	J	TRUE	41
Bos taurus non-functional	TRAJ47	TRA	J	FALSE	42
Bos taurus functional	TRAJ48	TRA	J	TRUE	43
Bos taurus functional	TRAJ49	TRA	J	TRUE	44
Bos taurus functional	TRAJ5	TRA	J	TRUE	45
Bos taurus functional	TRAJ50	TRA	J	TRUE	46
Bos taurus functional	TRAJ51	TRA	J	TRUE	47
Bos taurus non-functional	TRAJ52	TRA	J	FALSE	48
Bos taurus functional	TRAJ6	TRA	J	TRUE	49
Bos taurus functional	TRAJ7	TRA	J	TRUE	50
Bos taurus functional	TRAJ8	TRA	J	TRUE	51
Bos taurus functional	TRAJ9	TRA	J	TRUE	52
Bos taurus functional	TRDD1	TRD	D	TRUE	53
Bos taurus functional	TRDD2	TRD	D	TRUE	54
Bos taurus functional	TRDD3	TRD	D	TRUE	55
Bos taurus functional	TRDD4	TRD	D	TRUE	56
Bos taurus functional	TRDD5	TRD	D	TRUE	57
Bos taurus functional	TRDJ1	TRD	J	TRUE	58
Bos taurus functional	TRDJ2	TRD	J	TRUE	59
Bos taurus functional	TRDJ3	TRD	J	TRUE	60
Bos taurus functional	TRDV1S1	TRD	V	TRUE	61
Bos taurus functional	TRDV1S10	TRD	V	TRUE	62
Bos taurus functional	TRDV1S11	TRD	V	TRUE	63
Bos taurus functional	TRDV1S12	TRD	V	TRUE	64
Bos taurus functional	TRDV1S13-1	TRD	V	TRUE	65
Bos taurus functional	TRDV1S13-2	TRD	V	TRUE	66
Bos taurus functional	TRDV1S14	TRD	V	TRUE	67
Bos taurus functional	TRDV1S15-1	TRD	V	TRUE	68
Bos taurus functional	TRDV1S15-2	TRD	V	TRUE	69
Bos taurus functional	TRDV1S16	TRD	V	TRUE	70
Bos taurus functional	TRDV1S17	TRD	V	TRUE	71
Bos taurus functional	TRDV1S18-1	TRD	V	TRUE	72
Bos taurus functional	TRDV1S18-2	TRD	V	TRUE	73
Bos taurus functional	TRDV1S19	TRD	V	TRUE	74
Bos taurus non-functional	TRDV1S2-1	TRD	V	FALSE	75
Bos taurus non-functional	TRDV1S2-2	TRD	V	FALSE	76
Bos taurus functional	TRDV1S20	TRD	V	TRUE	77
Bos taurus functional	TRDV1S21-1	TRD	V	TRUE	78
Bos taurus functional	TRDV1S21-2	TRD	V	TRUE	79
Bos taurus non-functional	TRDV1S22	TRD	V	FALSE	80
Bos taurus functional	TRDV1S23	TRD	V	TRUE	81
Bos taurus functional	TRDV1S24	TRD	V	TRUE	82
Bos taurus non-functional	TRDV1S25-1	TRD	V	FALSE	83
Bos taurus non-functional	TRDV1S25-2	TRD	V	FALSE	84
Bos taurus functional	TRDV1S26	TRD	V	TRUE	85
Bos taurus functional	TRDV1S27-1	TRD	V	TRUE	86
Bos taurus functional	TRDV1S27-2	TRD	V	TRUE	87
Bos taurus functional	TRDV1S28	TRD	V	TRUE	88
Bos taurus functional	TRDV1S29	TRD	V	TRUE	89
Bos taurus functional	TRDV1S3	TRD	V	TRUE	90
Bos taurus functional	TRDV1S30	TRD	V	TRUE	91
Bos taurus functional	TRDV1S31	TRD	V	TRUE	92
Bos taurus functional	TRDV1S32	TRD	V	TRUE	93
Bos taurus functional	TRDV1S33	TRD	V	TRUE	94
Bos taurus non-functional	TRDV1S34	TRD	V	FALSE	95
Bos taurus functional	TRDV1S35	TRD	V	TRUE	96
Bos taurus functional	TRDV1S36	TRD	V	TRUE	97
Bos taurus functional	TRDV1S37	TRD	V	TRUE	98
Bos taurus functional	TRDV1S38	TRD	V	TRUE	99
Bos taurus functional	TRDV1S39	TRD	V	TRUE	100
Bos taurus functional	TRDV1S4-1	TRD	V	TRUE	101
Bos taurus functional	TRDV1S4-2	TRD	V	TRUE	102
Bos taurus functional	TRDV1S4-3	TRD	V	TRUE	103
Bos taurus functional	TRDV1S40	TRD	V	TRUE	104
Bos taurus functional	TRDV1S41	TRD	V	TRUE	105
Bos taurus functional	TRDV1S42	TRD	V	TRUE	106
Bos taurus functional	TRDV1S43	TRD	V	TRUE	107
Bos taurus non-functional	TRDV1S44	TRD	V	FALSE	108
Bos taurus functional	TRDV1S45	TRD	V	TRUE	109
Bos taurus functional	TRDV1S46	TRD	V	TRUE	110
Bos taurus functional	TRDV1S47-1	TRD	V	TRUE	111
Bos taurus functional	TRDV1S47-2	TRD	V	TRUE	112
Bos taurus functional	TRDV1S48	TRD	V	TRUE	113
Bos taurus functional	TRDV1S49	TRD	V	TRUE	114
Bos taurus functional	TRDV1S5-1	TRD	V	TRUE	115
Bos taurus functional	TRDV1S5-2	TRD	V	TRUE	116
Bos taurus functional	TRDV1S50	TRD	V	TRUE	117
Bos taurus functional	TRDV1S51-1	TRD	V	TRUE	118
Bos taurus functional	TRDV1S51-2	TRD	V	TRUE	119
Bos taurus functional	TRDV1S52-1	TRD	V	TRUE	120
Bos taurus functional	TRDV1S52-2	TRD	V	TRUE	121
Bos taurus non-functional	TRDV1S53	TRD	V	FALSE	122
Bos taurus non-functional	TRDV1S54	TRD	V	FALSE	123
Bos taurus non-functional	TRDV1S55	TRD	V	FALSE	124
Bos taurus non-functional	TRDV1S56	TRD	V	FALSE	125
Bos taurus functional	TRDV1S6-1	TRD	V	TRUE	126
Bos taurus functional	TRDV1S6-2	TRD	V	TRUE	127
Bos taurus functional	TRDV1S7-1	TRD	V	TRUE	128
Bos taurus functional	TRDV1S7-2	TRD	V	TRUE	129
Bos taurus functional	TRDV1S8	TRD	V	TRUE	130
Bos taurus non-functional	TRDV1S9	TRD	V	FALSE	131
Bos taurus functional	TRDV2S1	TRD	V	TRUE	132
Bos taurus functional	TRDV2S2	TRD	V	TRUE	133
Bos taurus functional	TRDV2S3	TRD	V	TRUE	134
Bos taurus non-functional	TRDV2S4	TRD	V	FALSE	135
Bos taurus functional	TRDV3S1	TRD	V	TRUE	136
Bos taurus functional	TRDV3S2	TRD	V	TRUE	137
Bos taurus non-functional	TRDV3S3	TRD	V	FALSE	138
Bos taurus functional	TRDV4	TRD	V	TRUE	139
Bos taurus non-functional	TRDV5	TRD	V	FALSE	140
Bos taurus functional	TRGJ1-1	TRG	J	TRUE	141
Bos taurus functional	TRGJ1-2	TRG	J	TRUE	142
Bos taurus functional	TRGJ2-1	TRG	J	TRUE	143
Bos taurus functional	TRGJ2-2	TRG	J	TRUE	144
Bos taurus functional	TRGJ3-1	TRG	J	TRUE	145
Bos taurus functional	TRGJ4-1	TRG	J	TRUE	146
Bos taurus functional	TRGJ4-2	TRG	J	TRUE	147
Bos taurus functional	TRGJ5-1	TRG	J	TRUE	148
Bos taurus functional	TRGJ6-1	TRG	J	TRUE	149
Bos taurus functional	TRGV1-1	TRG	V	TRUE	150
Bos taurus functional	TRGV10-1	TRG	V	TRUE	151
Bos taurus functional	TRGV2-1	TRG	V	TRUE	152
Bos taurus functional	TRGV3-1	TRG	V	TRUE	153
Bos taurus functional	TRGV3-2	TRG	V	TRUE	154
Bos taurus non-functional	TRGV4-1	TRG	V	FALSE	155
Bos taurus non-functional	TRGV5-1	TRG	V	FALSE	156
Bos taurus non-functional	TRGV5-2	TRG	V	FALSE	157
Bos taurus functional	TRGV6-1	TRG	V	TRUE	158
Bos taurus functional	TRGV6-2	TRG	V	TRUE	159
Bos taurus functional	TRGV7-1	TRG	V	TRUE	160
Bos taurus functional	TRGV8-1	TRG	V	TRUE	161
Bos taurus functional	TRGV8-2	TRG	V	TRUE	162
Bos taurus functional	TRGV8-3	TRG	V	TRUE	163
Bos taurus functional	TRGV8-4	TRG	V	TRUE	164
Bos taurus functional	TRGV9-1	TRG	V	TRUE	165
Bos taurus functional	TRGV9-2	TRG	V	TRUE	166
Camelus dromedarius functional	TRDV1S1	TRD	V	TRUE	167
Camelus dromedarius functional	TRDV1S2	TRD	V	TRUE	168
